input,init_output,learned_output
0.0,0.006693157,0.0066943048
0.015015015,0.007769084,0.007770414
0.03003003,0.009016397,0.009017939
0.045045048,0.010461848,0.01046364
0.06006006,0.012136192,0.012138261
0.075075075,0.0140746925,0.014077089
0.090090096,0.016317705,0.016320482
0.10510511,0.018911328,0.018914532
0.12012012,0.021908008,0.021911718
0.13513514,0.025367275,0.02537155
0.15015015,0.02935636,0.029361285
0.16516517,0.03395089,0.03395656
0.18018019,0.039235443,0.03924196
0.1951952,0.04530397,0.04531145
0.21021022,0.052260075,0.052268635
0.22522523,0.060216874,0.060226664
0.24024025,0.069296576,0.06930772
0.25525525,0.07962933,0.079642005
0.2702703,0.091351636,0.091365956
0.2852853,0.10460342,0.10461962
0.3003003,0.11952475,0.119542934
0.31531534,0.13625073,0.13627106
0.33033034,0.15490551,0.15492815
0.34534535,0.17559531,0.17562032
0.36036038,0.19839984,0.19842733
0.3753754,0.22336367,0.22339368
0.3903904,0.25048727,0.25051972
0.4054054,0.2797185,0.27975327
0.42042044,0.31094608,0.3109831
0.43543544,0.3439953,0.3440343
0.45045045,0.3786275,0.37866813
0.4654655,0.41454378,0.4145857
0.4804805,0.45139295,0.45143574
0.4954955,0.48878407,0.48882723
0.5105105,0.5263025,0.5263456
0.5255255,0.5635281,0.5635706
0.5405406,0.6000538,0.60009533
0.5555556,0.6355027,0.63554275
0.5705706,0.66954356,0.66958183
0.5855856,0.7019009,0.7019371
0.6006006,0.7323619,0.73239577
0.6156156,0.76077783,0.7608093
0.6306307,0.78706205,0.787091
0.6456457,0.81118494,0.8112114
0.6606607,0.83316606,0.8331901
0.6756757,0.85306597,0.8530876
0.6906907,0.8709768,0.8709962
0.7057057,0.88701373,0.8870311
0.72072077,0.9013074,0.90132284
0.7357358,0.91399664,0.9140102
0.7507508,0.92522347,0.9252354
0.7657658,0.93512857,0.935139
0.7807808,0.94384825,0.9438573
0.7957958,0.9515119,0.9515198
0.8108108,0.958241,0.9582478
0.82582587,0.96414804,0.9641539
0.8408409,0.96933633,0.9693414
0.8558559,0.97390044,0.9739047
0.8708709,0.97792614,0.97792983
0.8858859,0.9814916,0.98149467
0.9009009,0.98466724,0.9846698
0.91591597,0.98751765,0.9875196
0.930931,0.9901015,0.9901031
0.945946,0.9924729,0.992474
0.960961,0.99468213,0.9946828
0.975976,0.9967764,0.99677676
0.990991,0.99880093,0.99880075
1.006006,1.0007994,1.000799
1.021021,1.0028151,1.0028143
1.036036,1.004892,1.0048907
1.051051,1.0070745,1.0070727
1.0660661,1.0094097,1.0094074
1.0810812,1.0119469,1.011944
1.0960962,1.0147395,1.0147362
1.1111112,1.0178453,1.0178413
1.1261262,1.0213275,1.0213226
1.1411412,1.0252553,1.0252497
1.1561562,1.0297053,1.0296987
1.1711712,1.0347618,1.0347542
1.1861862,1.0405173,1.0405086
1.2012012,1.0470736,1.0470635
1.2162162,1.0545412,1.0545297
