input,init_output,learned_output
0.0,0.07641471,0.07639969
0.015015015,0.08189159,0.081875585
0.03003003,0.08772436,0.08770732
0.045045048,0.09393078,0.09391266
0.06006006,0.10052878,0.100509524
0.075075075,0.10753624,0.10751578
0.090090096,0.11497084,0.11494915
0.10510511,0.12285003,0.122827046
0.12012012,0.13119067,0.13116634
0.13513514,0.14000902,0.1399833
0.15015015,0.14932023,0.14929312
0.16516517,0.15913855,0.15910996
0.18018019,0.16947655,0.16944647
0.1951952,0.18034528,0.18031365
0.21021022,0.19175377,0.19172059
0.22522523,0.20370889,0.20367414
0.24024025,0.21621488,0.2161785
0.25525525,0.22927319,0.22923525
0.2702703,0.24288233,0.24284281
0.2852853,0.25703734,0.25699624
0.3003003,0.27172992,0.27168727
0.31531534,0.2869479,0.28690374
0.33033034,0.3026754,0.30262974
0.34534535,0.31889248,0.31884545
0.36036038,0.33557537,0.335527
0.3753754,0.35269633,0.35264665
0.3903904,0.37022376,0.3701729
0.4054054,0.3881225,0.38807052
0.42042044,0.40635392,0.406301
0.43543544,0.42487633,0.42482254
0.45045045,0.44364542,0.4435909
0.4654655,0.46261466,0.46255946
0.4804805,0.48173568,0.48168004
0.4954955,0.5009591,0.500903
0.5105105,0.5202347,0.5201784
0.5255255,0.53951263,0.5394562
0.5405406,0.5587434,0.558687
0.5555556,0.57787865,0.5778224
0.5705706,0.5968721,0.596816
0.5855856,0.6156797,0.61562383
0.6006006,0.63426,0.6342047
0.6156156,0.6525751,0.65252024
0.6306307,0.6705906,0.67053634
0.6456457,0.68827593,0.68822235
0.6606607,0.7056049,0.705552
0.6756757,0.7225555,0.7225031
0.6906907,0.73911,0.73905843
0.7057057,0.7552554,0.7552046
0.72072077,0.7709831,0.7709329
0.7357358,0.78628826,0.7862389
0.7507508,0.80117095,0.8011221
0.7657658,0.8156346,0.8155864
0.7807808,0.82968694,0.82963926
0.7957958,0.84333885,0.84329164
0.8108108,0.85660464,0.8565577
0.82582587,0.86950165,0.86945504
0.8408409,0.8820499,0.8820034
0.8558559,0.894272,0.8942255
0.8708709,0.90619266,0.906146
0.8858859,0.9178385,0.91779166
0.9009009,0.92923814,0.9291908
0.91591597,0.9404214,0.9403736
