input,init_output,learned_output
0.0,0.07641471,0.07641393
0.015015015,0.08189159,0.08189075
0.03003003,0.08772436,0.087723486
0.045045048,0.09393078,0.09392985
0.06006006,0.10052878,0.10052779
0.075075075,0.10753624,0.107535176
0.090090096,0.11497084,0.11496972
0.10510511,0.12285003,0.122848846
0.12012012,0.13119067,0.1311894
0.13513514,0.14000902,0.14000767
0.15015015,0.14932023,0.14931886
0.16516517,0.15913855,0.15913709
0.18018019,0.16947655,0.169475
0.1951952,0.18034528,0.18034364
0.21021022,0.19175377,0.19175208
0.22522523,0.20370889,0.20370708
0.24024025,0.21621488,0.216213
0.25525525,0.22927319,0.22927122
0.2702703,0.24288233,0.24288028
0.2852853,0.25703734,0.25703523
0.3003003,0.27172992,0.2717277
0.31531534,0.2869479,0.28694564
0.33033034,0.3026754,0.30267304
0.34534535,0.31889248,0.31889004
0.36036038,0.33557537,0.3355729
0.3753754,0.35269633,0.35269377
0.3903904,0.37022376,0.37022108
0.4054054,0.3881225,0.38811976
0.42042044,0.40635392,0.40635112
0.43543544,0.42487633,0.42487353
0.45045045,0.44364542,0.44364265
0.4654655,0.46261466,0.4626118
0.4804805,0.48173568,0.4817328
0.4954955,0.5009591,0.5009562
0.5105105,0.5202347,0.5202318
0.5255255,0.53951263,0.5395096
0.5405406,0.5587434,0.55874044
0.5555556,0.57787865,0.5778757
0.5705706,0.5968721,0.5968692
0.5855856,0.6156797,0.61567676
0.6006006,0.63426,0.6342571
0.6156156,0.6525751,0.65257215
0.6306307,0.6705906,0.6705877
0.6456457,0.68827593,0.6882731
0.6606607,0.7056049,0.70560205
0.6756757,0.7225555,0.72255266
0.6906907,0.73911,0.7391072
0.7057057,0.7552554,0.75525266
0.72072077,0.7709831,0.7709803
0.7357358,0.78628826,0.7862856
0.7507508,0.80117095,0.8011682
0.7657658,0.8156346,0.8156319
0.7807808,0.82968694,0.8296844
0.7957958,0.84333885,0.84333616
0.8108108,0.85660464,0.85660195
0.82582587,0.86950165,0.869499
0.8408409,0.8820499,0.88204724
0.8558559,0.894272,0.8942693
0.8708709,0.90619266,0.9061899
0.8858859,0.9178385,0.9178357
0.9009009,0.92923814,0.9292354
0.91591597,0.9404214,0.9404186
0.930931,0.9514195,0.95141643
0.945946,0.9622644,0.96226144
0.960961,0.9729895,0.97298634
0.975976,0.98362833,0.98362523
0.990991,0.9942152,0.99421173
1.006006,1.0047843,1.0047809
1.021021,1.0153704,1.0153668
1.036036,1.0260079,1.0260042
1.051051,1.0367314,1.0367275
1.0660661,1.0475746,1.0475706
1.0810812,1.0585709,1.0585666
1.0960962,1.0697527,1.0697483
1.1111112,1.0811517,1.0811471
1.1261262,1.0927986,1.0927937
1.1411412,1.1047219,1.104717
1.1561562,1.1169496,1.1169442
1.1711712,1.1295068,1.1295011
1.1861862,1.1424173,1.1424115
1.2012012,1.1557018,1.1556957
1.2162162,1.1693788,1.1693726
1.2312312,1.1834639,1.1834573
1.2462462,1.1979694,1.1979626
1.2612613,1.2129043,1.2128973
1.2762764,1.2282736,1.2282664
1.2912914,1.2440788,1.2440712
1.3063064,1.2603172,1.2603095
1.3213214,1.276982,1.2769737
1.3363364,1.2940617,1.2940533
1.3513514,1.311541,1.3115323
1.3663664,1.3294,1.3293912
1.3813814,1.3476144,1.3476052
1.3963964,1.3661563,1.3661472
1.4114114,1.3849934,1.384984
